runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	-35	1.07374e+09	1611.54	10394.2	263000	615	525
2	-36	1.07374e+09	6.44581e+06	8.30046e+07	144000	360	287
3	-38	1.07374e+09	1.93317e+07	1.42898e+08	139500	388	278
4	-28	1.07374e+09	2.14792e+07	1.50474e+08	158500	427	316
5	-30	1.07374e+09	4.29811e+06	6.78411e+07	112500	298	224
6	-38	1.07374e+09	1.28867e+07	1.17032e+08	120500	296	240
7	-43	1.07374e+09	4.29695e+06	6.78412e+07	134000	367	267
8	-24	1.07374e+09	6.44682e+06	8.30045e+07	135500	389	270
9	-26	1.07374e+09	6.44447e+06	8.30047e+07	218000	562	435
10	-36	1.07374e+09	4728.98	22826	122000	340	243
11	-36	1.07374e+09	8.59115e+06	9.57492e+07	142000	315	283
12	-30	1.07374e+09	8.59211e+06	9.57491e+07	227500	544	454
13	-28	1.07374e+09	8.59183e+06	9.57491e+07	108000	306	215
14	-38	1.07374e+09	4.29704e+06	6.78412e+07	205500	510	410
15	-30	1.07374e+09	1.28869e+07	1.17032e+08	128000	294	255
16	-24	1.07374e+09	1.71822e+07	1.34862e+08	127500	324	254
17	-41	1.07374e+09	4.2974e+06	6.78412e+07	222500	495	444
18	-36	1.07374e+09	2.15102e+06	4.8019e+07	189500	476	378
19	-39	1.07374e+09	1.07413e+07	1.06943e+08	284000	749	567
20	-37	1.07374e+09	2.15077e+06	4.80191e+07	305000	809	609
21	-42	1.07374e+09	2.15127e+06	4.8019e+07	167000	456	333
22	-24	1.07374e+09	1.2887e+07	1.17032e+08	117000	302	233
23	-36	1.07374e+09	1.28871e+07	1.17032e+08	172500	384	344
24	-32	1.07374e+09	1.50365e+07	1.2628e+08	123500	310	246
25	-30	1.07374e+09	1.28871e+07	1.17032e+08	140000	347	279
26	-24	1.07374e+09	3.22163e+07	1.83349e+08	107500	293	214
27	-40	1.07374e+09	2.15034e+06	4.80191e+07	315500	891	630
28	-28	1.07374e+09	1.07397e+07	1.06943e+08	159500	387	318
29	-32	1.07374e+09	1.07409e+07	1.06943e+08	141500	349	282
30	-30	1.07374e+09	1.0739e+07	1.06943e+08	209500	486	418
31	-34	1.07374e+09	8.59308e+06	9.5749e+07	201000	532	401
32	-40	1.07374e+09	8.59322e+06	9.5749e+07	218500	550	436
33	-34	1.07374e+09	2.14973e+06	4.80191e+07	271000	648	541
34	-28	1.07374e+09	8.59344e+06	9.57489e+07	134000	382	267
35	-28	1.07374e+09	1.93308e+07	1.42898e+08	157500	344	314
36	-48	1.07374e+09	4932.27	28640.1	387500	1046	774
37	-34	1.07374e+09	2.14758e+07	1.50474e+08	154000	377	307
38	-34	1.07374e+09	2125.89	13036.4	235000	623	469
39	-35	1.07374e+09	2.14898e+06	4.80191e+07	120000	339	239
40	-38	1.07374e+09	1718.1	13296	185500	463	370
41	-26	1.07374e+09	8.59193e+06	9.57491e+07	143500	378	286
42	-37	1.07374e+09	8.59376e+06	9.57489e+07	170500	411	340
43	-38	1.07374e+09	4.29766e+06	6.78411e+07	190500	498	380
44	-34	1.07374e+09	2.15084e+06	4.8019e+07	123500	279	246
45	-39	1.07374e+09	8.59205e+06	9.57491e+07	275500	683	550
46	-38	1.07374e+09	2.15265e+06	4.8019e+07	184000	604	367
47	-28	1.07374e+09	6.44492e+06	8.30046e+07	215500	554	430
48	-26	1.07374e+09	6.44579e+06	8.30046e+07	202000	537	403
49	-38	1.07374e+09	6.44459e+06	8.30047e+07	146500	318	292
50	-24	1.07374e+09	1.50359e+07	1.2628e+08	106000	250	211
