runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	-7	262144	3.502	14.9969	116500	1	232
2	-7	262144	3.62	15.5131	127000	2	253
3	-6	262144	1.24	11.9795	111500	0	222
4	-7	262144	3.646	15.523	120000	1	239
5	-7	262144	4.292	15.5152	115000	1	229
6	-7	262144	4.65	14.9291	119500	1	238
7	-6	262144	1.498	12.4628	113000	1	225
8	-6	262144	0.18	11.1166	121500	1	242
9	-6	262144	0.81	11.6611	109500	1	218
10	-6	262144	0.342	11.8254	114000	1	227
11	-7	262144	3.014	15.7581	137500	1	274
12	-7	262144	3.358	14.2718	119500	1	238
13	-7	262144	3.962	15.0645	126000	1	251
14	-6	262144	2.826	13.0224	114500	1	228
15	-6	262144	0.022	10.8381	114000	1	227
16	-6	262144	2.6	12.9721	116500	1	232
17	-6	262144	-1.038	9.77198	117500	1	234
18	-6	262144	0.746	12.2297	114000	1	227
19	-6	262144	0.76	11.226	114500	1	228
20	-6	262144	2.442	11.804	113500	1	226
21	-6	262144	2.11	10.9293	113000	1	225
22	-6	262144	0.598	11.6427	113000	1	225
23	-6	262144	1.824	12.2052	114500	0	228
24	-6	262144	2.758	13.8772	113500	1	226
25	-7	262144	3.152	14.7341	196000	2	391
26	-6	262144	1.816	11.5433	117000	1	233
27	-6	262144	0.452	11.6485	109000	1	217
28	-6	262144	0.544	11.384	116500	1	232
29	-6	262144	1.974	11.7696	114000	0	227
30	-7	262144	4.266	16.0592	122000	1	243
31	-6	262144	0.722	11.8829	111000	1	221
32	-7	262144	2.476	15.3064	118000	1	235
33	-7	262144	2.674	14.1663	117000	1	233
34	-6	262144	-0.098	10.6067	118500	1	236
35	-6	262144	3.208	12.101	113500	1	226
36	-7	262144	3.09	14.4305	116500	1	232
37	-6	262144	0.8	11.1727	118500	1	236
38	-6	262144	0.81	11.9805	113000	1	225
39	-7	262144	2.346	13.9457	119000	1	237
40	-7	262144	3.46	14.4805	118500	1	236
41	-6	262144	-0.232	10.9492	116000	1	231
42	-7	262144	3.46	14.4805	118500	1	236
43	-6	262144	2.606	14.0378	113000	0	225
44	-7	262144	4.81	14.9082	118500	1	236
45	-7	262144	4.496	15.0795	118500	1	236
46	-6	262144	-0.024	10.7882	112500	1	224
47	-6	262144	0.544	11.384	116500	1	232
48	-6	262144	0.768	11.6925	112000	1	223
49	-7	262144	2.956	14.3687	115000	1	229
50	-7	262144	1.712	14.1862	119500	1	238
