runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	-20	1.34218e+08	3.4905e+06	2.138e+07	137000	104	273
2	-21	1.34218e+08	1.87999e+06	1.5785e+07	110500	90	220
3	-23	1.34218e+08	1.61128e+06	1.46289e+07	109000	82	217
4	-24	1.34218e+08	1.07472e+06	1.19686e+07	141000	108	281
5	-26	1.34218e+08	980.116	5422.95	216500	147	432
6	-22	1.34218e+08	1.8798e+06	1.5785e+07	156000	119	311
7	-28	1.34218e+08	806300	1.03755e+07	278500	172	556
8	-24	1.34218e+08	934.982	4917.54	145000	119	289
9	-16	1.34218e+08	2.95385e+06	1.97071e+07	104500	73	208
10	-22	1.34218e+08	1.88012e+06	1.5785e+07	137500	106	274
11	-20	1.34218e+08	806613	1.03755e+07	109500	71	218
12	-22	1.34218e+08	1.07421e+06	1.19686e+07	107000	90	213
13	-22	1.34218e+08	1.87997e+06	1.5785e+07	116000	78	231
14	-16	1.34218e+08	268920	6.00238e+06	104500	70	208
15	-20	1.34218e+08	1.0746e+06	1.19686e+07	133500	106	266
16	-24	1.34218e+08	1017.43	6616.44	120000	102	239
17	-24	1.34218e+08	806155	1.03755e+07	114000	85	227
18	-20	1.34218e+08	1.34259e+06	1.33678e+07	125500	82	250
19	-28	1.34218e+08	1.34283e+06	1.33678e+07	151000	107	301
20	-22	1.34218e+08	748.42	4633.08	112500	70	224
21	-18	1.34218e+08	806882	1.03755e+07	109000	79	217
22	-22	1.34218e+08	806309	1.03755e+07	113000	83	225
23	-26	1.34218e+08	537567	8.48012e+06	109500	85	218
24	-22	1.34218e+08	2.68507e+06	1.88092e+07	180000	102	359
25	-26	1.34218e+08	269259	6.00236e+06	115500	102	230
26	-23	1.34218e+08	1.34279e+06	1.33678e+07	118000	85	235
27	-22	1.34218e+08	1.61124e+06	1.46289e+07	146000	87	291
28	-26	1.34218e+08	1.8796e+06	1.5785e+07	175000	132	349
29	-22	1.34218e+08	1.343e+06	1.33678e+07	149500	89	298
30	-28	1.34218e+08	1.07446e+06	1.19686e+07	215500	134	430
31	-21	1.34218e+08	1.61121e+06	1.46289e+07	148000	100	295
32	-20	1.34218e+08	1.34326e+06	1.33678e+07	110500	77	220
33	-22	1.34218e+08	2.1485e+06	1.68577e+07	132500	94	264
34	-22	1.34218e+08	270337	6.00232e+06	172500	120	344
35	-23	1.34218e+08	2.41676e+06	1.78622e+07	114500	87	228
36	-20	1.34218e+08	1.07466e+06	1.19686e+07	149500	100	298
37	-21	1.34218e+08	537833	8.48011e+06	207500	125	414
38	-22	1.34218e+08	1076.89	6475.25	173500	143	346
39	-20	1.34218e+08	3.75892e+06	2.21643e+07	162000	98	323
40	-20	1.34218e+08	2.41676e+06	1.78622e+07	108000	70	215
41	-24	1.34218e+08	806119	1.03755e+07	165500	118	330
42	-16	1.34218e+08	3.22269e+06	2.05622e+07	104500	82	208
43	-30	1.34218e+08	1.87989e+06	1.5785e+07	168500	112	336
44	-28	1.34218e+08	1.07411e+06	1.19686e+07	190000	125	379
45	-20	1.34218e+08	3.49047e+06	2.138e+07	122000	107	243
46	-22	1.34218e+08	993.814	4874.35	206000	168	411
47	-25	1.34218e+08	1.34308e+06	1.33678e+07	218000	175	435
48	-27	1.34218e+08	269054	6.00237e+06	147500	113	294
49	-20	1.34218e+08	1.07483e+06	1.19686e+07	120000	91	239
50	-24	1.34218e+08	269461	6.00236e+06	350000	246	699
