runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	-12	2.09715e+06	16901	187000	184000	15	367
2	-10	2.09715e+06	21079	208863	111500	11	222
3	-10	2.09715e+06	4357.37	93783.3	112500	10	224
4	-10	2.09715e+06	29445	246633	116500	8	232
5	-10	2.09715e+06	12705.2	162111	119000	12	237
6	-11	2.09715e+06	58802.3	346306	109000	9	217
7	-8	2.09715e+06	42030.4	293883	102500	10	204
8	-11	2.09715e+06	8499.11	132497	129500	13	258
9	-10	2.09715e+06	21079.7	208863	107500	8	214
10	-10	2.09715e+06	16943.8	186997	120500	11	240
11	-10	2.09715e+06	29446.4	246632	112000	9	223
12	-10	2.09715e+06	42052.3	293880	104000	7	207
13	-8	2.09715e+06	29455.6	246631	103500	9	206
14	-10	2.09715e+06	46218.7	307914	113500	10	226
15	-10	2.09715e+06	29550.6	246621	113000	8	225
16	-10	2.09715e+06	75533.1	391063	124500	10	248
17	-12	2.09715e+06	46234.3	307911	171500	13	342
18	-10	2.09715e+06	16897.5	187000	104500	7	208
19	-10	2.09715e+06	21071	208864	108000	11	215
20	-11	2.09715e+06	42021.3	293884	117000	10	233
21	-11	2.09715e+06	29449.8	246632	114500	11	228
22	-12	2.09715e+06	101.308	530.622	153500	15	306
23	-11	2.09715e+06	21070.7	208864	112500	11	224
24	-11	2.09715e+06	8476.46	132498	151000	19	301
25	-10	2.09715e+06	29432	246634	107000	10	213
26	-10	2.09715e+06	37809	279090	133000	11	265
27	-12	2.09715e+06	33644.6	263393	118500	11	236
28	-10	2.09715e+06	37803.4	279091	113500	10	226
29	-12	2.09715e+06	29435.2	246634	143000	13	285
30	-10	2.09715e+06	50451.6	321270	104000	9	207
31	-12	2.09715e+06	4307.08	93785.1	111000	11	221
32	-11	2.09715e+06	37866.6	279083	109000	10	217
33	-10	2.09715e+06	29443	246633	107000	9	213
34	-11	2.09715e+06	25324.9	228561	112000	10	223
35	-10	2.09715e+06	25355.8	228558	107000	9	213
36	-10	2.09715e+06	54645.3	334046	113000	10	225
37	-10	2.09715e+06	21079.1	208863	123500	11	246
38	-10	2.09715e+06	16941.9	186997	118000	12	235
39	-11	2.09715e+06	33625.3	263395	111000	9	221
40	-10	2.09715e+06	33641.7	263393	117500	9	234
41	-10	2.09715e+06	21045	208866	105500	6	210
42	-10	2.09715e+06	12731.2	162110	105000	8	209
43	-10	2.09715e+06	16848.4	187005	133500	9	266
44	-10	2.09715e+06	46216.6	307914	107500	11	214
45	-10	2.09715e+06	21094.1	208862	110000	10	219
46	-10	2.09715e+06	12731.2	162110	105000	8	209
47	-12	2.09715e+06	8473.64	132498	175500	16	350
48	-10	2.09715e+06	12808.8	162104	105000	10	209
49	-10	2.09715e+06	42083.7	293876	101500	8	202
50	-12	2.09715e+06	94.262	462.883	153000	12	305
