runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	0	5.49756e+11	6.04779e+10	1.72184e+11	500	843	0
2	0	5.49756e+11	6.2677e+10	1.74892e+11	500	869	0
3	0	5.49756e+11	7.69709e+10	1.90947e+11	500	919	0
4	0	5.49756e+11	6.26772e+10	1.74892e+11	500	903	0
5	0	5.49756e+11	6.81745e+10	1.81369e+11	500	844	0
6	0	5.49756e+11	5.608e+10	1.66548e+11	500	870	0
7	0	5.49756e+11	5.49811e+10	1.6509e+11	500	1011	0
8	0	5.49756e+11	6.48763e+10	1.77531e+11	500	918	0
9	0	5.49756e+11	8.79659e+09	6.90497e+10	1500	1495	2
10	0	5.49756e+11	6.81751e+10	1.81369e+11	500	945	0
11	0	5.49756e+11	7.14733e+10	1.85068e+11	500	886	0
12	0	5.49756e+11	6.70754e+10	1.80106e+11	500	904	0
13	0	5.49756e+11	6.15772e+10	1.73547e+11	500	800	0
14	0	5.49756e+11	6.04782e+10	1.72183e+11	500	893	0
15	0	5.49756e+11	7.14735e+10	1.85068e+11	500	1024	0
16	0	5.49756e+11	6.37765e+10	1.7622e+11	500	947	0
17	0	5.49756e+11	6.48761e+10	1.77532e+11	500	959	0
18	0	5.49756e+11	6.92741e+10	1.82617e+11	500	958	0
19	0	5.49756e+11	8.57666e+10	1.9968e+11	500	893	0
20	0	5.49756e+11	6.26769e+10	1.74892e+11	500	839	0
21	0	5.49756e+11	5.82793e+10	1.69403e+11	500	885	0
22	0	5.49756e+11	7.36718e+10	1.87461e+11	500	785	0
23	0	5.49756e+11	5.49808e+10	1.6509e+11	500	878	0
24	0	5.49756e+11	7.36722e+10	1.87461e+11	500	897	0
25	0	5.49756e+11	7.25728e+10	1.86272e+11	500	1008	0
26	0	5.49756e+11	6.04781e+10	1.72183e+11	500	957	0
27	0	5.49756e+11	5.27815e+10	1.62114e+11	500	862	0
28	0	5.49756e+11	5.38811e+10	1.63612e+11	500	984	0
29	0	5.49756e+11	7.14733e+10	1.85068e+11	500	1018	0
30	0	5.49756e+11	5.71799e+10	1.67985e+11	500	1040	0
31	0	5.49756e+11	6.5977e+09	5.99202e+10	1500	1782	2
32	0	5.49756e+11	7.69835e+09	6.46555e+10	1000	1420	1
33	0	5.49756e+11	6.37769e+10	1.7622e+11	500	1040	0
34	0	5.49756e+11	6.59754e+10	1.78827e+11	500	851	0
35	0	5.49756e+11	6.70752e+10	1.80106e+11	500	892	0
36	0	5.49756e+11	6.48765e+10	1.77531e+11	500	1008	0
37	0	5.49756e+11	7.6971e+10	1.90947e+11	500	1022	0
38	0	5.49756e+11	6.48764e+10	1.77531e+11	500	1008	0
39	0	5.49756e+11	6.92741e+10	1.82617e+11	500	951	0
40	0	5.49756e+11	6.04785e+10	1.72183e+11	500	1009	0
41	0	5.49756e+11	7.14727e+10	1.85068e+11	500	759	0
42	0	5.49756e+11	7.47721e+10	1.88637e+11	500	915	0
43	0	5.49756e+11	6.59754e+10	1.78827e+11	500	813	0
44	0	5.49756e+11	6.81749e+10	1.81369e+11	500	885	0
45	0	5.49756e+11	7.14733e+10	1.85068e+11	500	870	0
46	0	5.49756e+11	5.05825e+10	1.59051e+11	500	843	0
47	0	5.49756e+11	7.69693e+09	6.46557e+10	2000	1571	3
48	0	5.49756e+11	6.48767e+10	1.77531e+11	500	966	0
49	0	5.49756e+11	7.47717e+10	1.88637e+11	500	907	0
50	0	5.49756e+11	5.1682e+10	1.60594e+11	500	940	0
