runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	0	27065	20.09	12.7318	15500	29	30
2	0	26727	27.05	15.8223	15500	28	30
3	0	26601	14.202	9.86508	16500	30	32
4	0	27160	13.198	9.28716	16500	29	32
5	0	28840	24.604	13.9412	16000	29	31
6	0	26878	23.192	13.4935	15500	28	30
7	0	26801	44.434	22.2602	15000	29	29
8	0	27979	15.086	9.74868	16500	30	32
9	0	26731	48.6	23.7526	15000	29	29
10	0	27448	25.978	14.8157	16000	29	31
11	0	27251	50.192	23.7739	15000	29	29
12	0	27487	42.506	23.0642	15500	29	30
13	0	26603	10.346	7.89195	17000	31	33
14	0	26756	16.772	11.0865	16000	29	31
15	0	27660	20.366	11.8844	15500	28	30
16	0	27986	23.706	13.1532	16000	30	31
17	0	28998	20.804	12.2478	16000	30	31
18	0	27818	21.28	13.3924	16000	29	31
19	0	28387	11.334	8.1153	16500	30	32
20	0	27279	14.124	8.53618	17000	30	33
21	0	27761	30.02	15.5958	16000	30	31
22	0	26993	23.966	14.1406	15500	28	30
23	0	26894	16.008	9.32447	16500	30	32
24	0	27466	18.214	11.0374	16000	29	31
25	0	26865	18.788	12.7008	16000	29	31
26	0	28246	16.866	10.5828	16000	29	31
27	0	27467	19.55	11.3	16000	29	31
28	0	27404	16.884	9.93156	16500	29	32
29	0	27302	28.586	14.961	15500	29	30
30	0	27829	27.428	15.6596	15500	28	30
31	0	27872	18.666	10.6871	16000	29	31
32	0	28367	22.42	13.5861	15500	29	30
33	0	27619	20.038	12.0255	16000	29	31
34	0	27766	12.71	8.47452	16000	29	31
35	0	26419	19.37	11.7552	15500	28	30
36	0	27176	15.824	9.41479	16000	29	31
37	0	28719	16.39	10.5512	16000	28	31
38	0	28433	12.972	9.52137	16500	30	32
39	0	28124	18.014	11.5028	16000	30	31
40	0	29039	31.964	15.3978	15500	28	30
41	0	26431	23.508	13.2489	15500	28	30
42	0	27089	21.556	12.1312	16000	30	31
43	0	27763	27.004	14.4576	16000	29	31
44	0	28715	36.144	17.6481	15500	29	30
45	0	26843	20.736	11.2085	16000	28	31
46	0	27593	36.6	19.074	16000	30	31
47	0	30656	16.764	10.5234	16000	29	31
48	0	1.34218e+08	268447	6.0024e+06	16500	30	32
49	0	27466	12.7	8.58122	16000	28	31
50	0	27902	14.228	8.03225	16500	29	32
