runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	-42	8.58993e+09	27.062	112.942	253000	1176	505
2	-37	8.58993e+09	8.83	87.0707	194500	1162	388
3	-49	8.58993e+09	8.282	113.96	204000	1187	407
4	-63	8.58993e+09	43.23	226.782	236000	1199	471
5	-44	8.58993e+09	25.484	109.873	236000	1203	471
6	-55	8.58993e+09	48.814	201.713	225000	1190	449
7	-68	8.58993e+09	89.566	287.203	290500	1287	580
8	-47	8.58993e+09	29.268	133.921	256500	1218	512
9	-50	8.58993e+09	28.98	155.017	233000	1180	465
10	-43	8.58993e+09	14.634	101.267	243500	1152	486
11	-74	8.58993e+09	115.706	347.743	286000	1179	571
12	-55	8.58993e+09	20.092	144.955	211000	1176	421
13	-49	8.58993e+09	39.088	171.966	224500	1150	448
14	-51	8.58993e+09	52.436	175.406	254500	1150	508
15	-59	8.58993e+09	33.754	188.757	246000	1217	491
16	-48	8.58993e+09	26.31	157.407	215000	1194	429
17	-49	8.58993e+09	42.41	169.413	244500	1159	488
18	-54	8.58993e+09	29.608	162.62	225500	1226	450
19	-45	8.58993e+09	26.9	141.072	206500	1222	412
20	-45	8.58993e+09	25.446	113.304	229500	1166	458
21	-73	8.58993e+09	104.312	326.75	286500	1195	572
22	-62	8.58993e+09	92.434	266.2	277500	1191	554
23	-64	8.58993e+09	31.086	196.815	224500	1267	448
24	-54	8.58993e+09	38.668	199.091	238000	1220	475
25	-61	8.58993e+09	74.946	258.297	260500	1243	520
26	-71	8.58993e+09	97.262	324.613	249500	1226	498
27	-47	8.58993e+09	27.06	129.451	209500	1123	418
28	-52	8.58993e+09	53.376	189.163	255000	1106	509
29	-46	8.58993e+09	32.406	147.437	227500	1125	454
30	-55	8.58993e+09	19.39	142.474	217000	1152	433
31	-49	8.58993e+09	15.426	136.79	219000	1154	437
32	-50	321833	24.508	136.468	213000	1095	425
33	-43	8.58993e+09	22.728	108.186	232500	1156	464
34	-42	8.58993e+09	21.99	103.913	232500	1193	464
35	-52	8.58993e+09	35.054	159.771	250000	1198	499
36	-61	8.58993e+09	72.962	236.449	267500	1272	534
37	-52	8.58993e+09	27.678	139.721	222000	1180	443
38	-68	8.58993e+09	82.522	280.002	278500	1201	556
39	-71	8.58993e+09	104.678	317.469	303500	1171	606
40	-70	8.58993e+09	88.87	288.836	289000	1181	577
41	-46	8.58993e+09	36.256	135.34	218500	1113	436
42	-46	8.58993e+09	27.796	118.308	218500	1129	436
43	-49	8.58993e+09	40.81	137.945	255000	1160	509
44	-57	8.58993e+09	72.51	233.215	256500	1147	512
45	-57	8.58993e+09	45.42	207.166	227000	1174	453
46	-46	8.58993e+09	30.128	132.682	233500	1274	466
47	-46	8.58993e+09	9.784	97.2441	203000	1232	405
48	-50	8.58993e+09	16.672	143.182	206500	1235	412
49	-53	8.58993e+09	34.194	152.292	236000	1146	471
50	-71	8.58993e+09	108.322	319.708	289500	1160	578
